ACACH	Acanthisitta chloris
ANAPL	Anas platyrhynchos
CAPCA	Antrostomus carolinensis
APAVI	Apaloderma vittatum
APTFO	Aptenodytes forsteri
BALRE	Balearica regulorum
BUCRH	Buceros rhinoceros
CALAN	Calypte anna
CARCR	Cariama cristata
CATAU	Cathartes aura
CHAPE	Chaetura pelagica
CHAVO	Charadrius vociferus
CHLUN	Chlamydotis macqueenii
COLLI	Columba livia
COLST	Colius striatus
CORBR	Corvus brachyrhynchos
CUCCA	Cuculus canorus
EGRGA	Egretta garzetta
EURHE	Eurypyga helias
FALPE	Falco peregrinus
FULGL	Fulmarus glacialis
GALGA	Gallus gallus
GAVST	Gavia stellata
GEOFO	Geospiza fortis
HALAL	Haliaeetus albicilla
HALLE	Haliaeetus leucocephalus
LEPDI	Leptosomus discolor
MANVI	Manacus vitellinus
MELGA	Meleagris gallopavo
MELUN	Melopsittacus undulatus
MERNU	Merops nubicus
MESUN	Mesitornis unicolor
NESNO	Nestor notabilis
NIPNI	Nipponia nippon
OPHHO	Opisthocomus hoazin
PELCR	Pelecanus crispus
PHACA	Phalacrocorax carbo
PHALE	Phaethon lepturus
PHORU	Phoenicopterus ruber
PICPU	Picoides pubescens
PODCR	Podiceps cristatus
PTEGU	Pterocles gutturalis
PYGAD	Pygoscelis adeliae
STRCA	Struthio camelus
TAEGU	Taeniopygia guttata
TAUER	Tauraco erythrolophus
TINMA	Tinamus guttatus
TYTAL	Tyto alba
